"Note","Course","Module","Clip","Time in Clip","URL"
"July 29 :  AWS security ....","AWS Developer: Getting Started","Sounding the Alarm with IAM and Cloudwatch","Understanding Policies","1:27","https://app.pluralsight.com/player?course=aws-developer-getting-started&author=ryan-lewis&name=aws-developer-getting-started-m2&clip=6&mode=live&start=87.612509&noteid=b4f6245e-b3cd-41b3-9f0b-d257d1204ab6"
"Add VPC , virtual private cloud","AWS Developer: Getting Started","Getting Inside the Virtual Machine with EC2 and VPC","Creating a Virtual Private Cloud","3:39","https://app.pluralsight.com/player?course=aws-developer-getting-started&author=ryan-lewis&name=aws-developer-getting-started-m3&clip=2&mode=live&start=219.107242&noteid=3d508ef4-d9f0-4ba5-a27e-af904e829b97"
"Elastic Cloud Compute =>vitual machine, memory /storage /cpu...","AWS Developer: Getting Started","Getting Inside the Virtual Machine with EC2 and VPC","Elastic Cloud Compute","0:09","https://app.pluralsight.com/player?course=aws-developer-getting-started&author=ryan-lewis&name=aws-developer-getting-started-m3&clip=3&mode=live&start=9.28666&noteid=3fcfda03-46b6-4f6e-8bcc-693a4e3f6808"
"create Auto Scaling group","AWS Developer: Getting Started","Getting Inside the Virtual Machine with EC2 and VPC","Creating an Auto-scaling Group","2:32","https://app.pluralsight.com/player?course=aws-developer-getting-started&author=ryan-lewis&name=aws-developer-getting-started-m3&clip=10&mode=live&start=152.691054&noteid=c5b2454f-5944-4300-8358-69b851dc6cc0"
"first create Loadbalancers and then create the Autoscaling group","AWS Developer: Getting Started","Getting Inside the Virtual Machine with EC2 and VPC","Creating an Auto-scaling Group","4:23","https://app.pluralsight.com/player?course=aws-developer-getting-started&author=ryan-lewis&name=aws-developer-getting-started-m3&clip=10&mode=live&start=263.915792&noteid=1516d710-6b7e-412d-ace4-dd38df8bb2d4"
"Elastic Cache to fasten access to databases.","AWS Developer: Getting Started","Speeding Up with CloudFront and ElastiCache","Introduction","1:05","https://app.pluralsight.com/player?course=aws-developer-getting-started&author=ryan-lewis&name=aws-developer-getting-started-m7&clip=0&mode=live&start=65.626731&noteid=57ca7b72-7866-4225-8ea7-526cfa737c2e"
" CloudFront helps to reduce latency","AWS Developer: Getting Started","Speeding Up with CloudFront and ElastiCache","CloudFront Overview","0:34","https://app.pluralsight.com/player?course=aws-developer-getting-started&author=ryan-lewis&name=aws-developer-getting-started-m7&clip=1&mode=live&start=34.780229&noteid=92ee85d4-2673-49b8-8fcf-3cfdf9082c16"
"redis or memcached","AWS Developer: Getting Started","Speeding Up with CloudFront and ElastiCache","ElastiCache Overview","1:43","https://app.pluralsight.com/player?course=aws-developer-getting-started&author=ryan-lewis&name=aws-developer-getting-started-m7&clip=4&mode=live&start=103.151975&noteid=ea7e1136-b3c4-471f-bfdd-a48b77d7c447"
"for in memory caching","AWS Developer: Getting Started","Speeding Up with CloudFront and ElastiCache","ElastiCache Overview","1:56","https://app.pluralsight.com/player?course=aws-developer-getting-started&author=ryan-lewis&name=aws-developer-getting-started-m7&clip=4&mode=live&start=116.656757&noteid=75818ce1-a618-42a2-b413-4dfe2fc6653f"
"Redis cache cluster to store user session data","AWS Developer: Getting Started","Speeding Up with CloudFront and ElastiCache","ElastiCache Overview","2:05","https://app.pluralsight.com/player?course=aws-developer-getting-started&author=ryan-lewis&name=aws-developer-getting-started-m7&clip=4&mode=live&start=125.121687&noteid=dc522357-7177-41be-804c-94604d08357d"
"security group -> pizza redis-sg.","AWS Developer: Getting Started","Speeding Up with CloudFront and ElastiCache","Configuring a Redis Cluster in ElastiCache","0:48","https://app.pluralsight.com/player?course=aws-developer-getting-started&author=ryan-lewis&name=aws-developer-getting-started-m7&clip=5&mode=live&start=48.08316&noteid=159ef485-e542-4708-aee8-4b7810997c3a"
"custom TCP Rule create.","AWS Developer: Getting Started","Speeding Up with CloudFront and ElastiCache","Configuring a Redis Cluster in ElastiCache","1:13","https://app.pluralsight.com/player?course=aws-developer-getting-started&author=ryan-lewis&name=aws-developer-getting-started-m7&clip=5&mode=live&start=73.368288&noteid=f254463d-f489-427f-bf6b-38dd724db2bc"
"Elasticache Subnet group","AWS Developer: Getting Started","Speeding Up with CloudFront and ElastiCache","Configuring a Redis Cluster in ElastiCache","1:30","https://app.pluralsight.com/player?course=aws-developer-getting-started&author=ryan-lewis&name=aws-developer-getting-started-m7&clip=5&mode=live&start=90.512127&noteid=d821dda5-a0ce-4a0a-a851-7ad9595da0be"
